时间戳,栋舍编号,温度,湿度,氨气浓度(ppm),CO2浓度(ppm),光照强度(lux),噪声(dB),通风能耗kWh,加热能耗kWh,降温能耗kWh
2026-06-13 06:26:50,1号栋,23.44,71.74,14.13,1978.78,4626.7,53.21,57.22,0,34.98
2026-06-13 06:41:50,1号栋,22.96,68.98,17.56,2201.55,4979.88,50.87,46.14,0,40.22
2026-06-13 06:56:50,1号栋,23.66,67.76,20.42,2121.79,5213.72,53.25,82.44,0,44.04
2026-06-13 07:11:50,1号栋,23.89,71.2,18.61,2372.38,4740.01,54.49,72.53,0,15.93
2026-06-13 07:26:50,1号栋,23.42,65.18,16.78,2242.17,5973.65,53.27,78.0,0,18.96
2026-06-13 07:41:50,1号栋,23.16,69.15,18.09,2092.12,4188.75,52.94,48.54,0,35.36
2026-06-13 07:56:50,1号栋,24.2,67.38,16.29,1886.82,5191.13,55.03,52.24,0,34.03
2026-06-13 08:11:50,1号栋,24.23,67.67,17.11,1891.61,5503.27,50.72,81.76,0,30.28
2026-06-13 08:26:50,1号栋,24.15,69.69,17.1,2054.46,6087.18,54.63,56.77,0,25.39
2026-06-13 08:41:50,1号栋,24.36,64.66,14.29,2372.03,6602.58,52.62,67.95,0,32.49
2026-06-13 08:56:50,1号栋,26.04,71.5,17.06,1907.55,4976.87,53.53,55.46,0,20.7
2026-06-13 09:11:50,1号栋,24.59,67.1,20.69,2274.99,6254.95,56.08,63.07,0,23.11
2026-06-13 09:26:50,1号栋,25.67,70.34,15.25,2060.59,5821.12,50.35,72.1,0,46.62
2026-06-13 09:41:50,1号栋,24.21,70.39,16.02,2001.23,5962.73,51.39,62.59,0,23.35
2026-06-13 09:56:50,1号栋,25.05,69.16,16.84,1917.15,5970.55,54.63,67.53,0,22.27
2026-06-13 10:11:50,1号栋,25.28,70.76,13.98,2207.33,6295.05,54.26,55.01,0,16.12
2026-06-13 10:26:50,1号栋,24.42,69.36,17.84,1917.8,6945.65,49.8,61.55,0,20.31
2026-06-13 10:41:50,1号栋,24.9,69.36,15.6,2021.75,7129.5,51.97,70.81,0,20.96
2026-06-13 10:56:50,1号栋,25.5,72.14,12.38,1939.28,6914.89,52.71,66.46,0,26.16
2026-06-13 11:11:50,1号栋,25.47,68.95,19.66,2149.54,7026.13,52.3,57.86,0,27.49
2026-06-13 11:26:50,1号栋,25.63,68.42,17.9,2513.74,7292.89,52.47,74.83,0,27.99
2026-06-13 11:41:50,1号栋,24.41,67.24,13.58,2028.36,6866.54,56.47,65.47,0,28.25
2026-06-13 11:56:50,1号栋,25.84,64.84,17.79,2252.83,6118.04,55.41,66.31,0,28.37
2026-06-13 12:11:50,1号栋,25.81,73.8,17.68,2148.3,6706.43,51.42,71.21,0,24.78
2026-06-13 12:26:50,1号栋,25.53,68.31,18.28,2165.39,7454.88,52.1,60.07,0,23.24
2026-06-13 12:41:50,1号栋,25.28,70.02,18.83,1914.23,7370.91,55.83,66.77,0,45.57
2026-06-13 12:56:50,1号栋,25.11,66.77,13.76,2397.87,7263.29,53.01,65.36,0,21.22
2026-06-13 13:11:50,1号栋,26.65,69.52,17.54,2243.81,7097.84,53.57,55.42,0,37.08
2026-06-13 13:26:50,1号栋,26.37,71.95,20.51,1996.42,6362.53,52.87,63.74,0,41.5
2026-06-13 13:41:50,1号栋,24.58,72.32,17.0,2013.28,6351.28,49.81,70.52,0,30.59
2026-06-13 13:56:50,1号栋,24.79,66.67,16.65,2432.46,6727.54,50.11,59.94,0,27.82
2026-06-13 14:11:50,1号栋,23.88,69.15,16.86,2237.9,7550.84,55.37,59.25,0,21.15
2026-06-13 14:26:50,1号栋,26.52,69.38,17.35,2093.83,6725.4,52.83,57.52,0,28.66
2026-06-13 14:41:50,1号栋,25.21,68.17,15.89,2119.94,6498.87,56.13,36.1,0,39.16
2026-06-13 14:56:50,1号栋,25.85,65.11,16.63,2024.37,5922.6,51.56,51.82,0,45.72
2026-06-13 15:11:50,1号栋,25.38,71.8,18.76,1872.85,5996.67,54.1,50.47,0,36.46
2026-06-13 15:26:50,1号栋,24.79,68.51,18.74,2187.51,6078.45,55.44,51.59,0,34.93
2026-06-13 15:41:50,1号栋,25.21,68.64,17.97,1848.44,6720.95,52.75,57.38,0,38.81
2026-06-13 15:56:50,1号栋,24.56,66.44,14.21,2219.86,5618.72,56.63,41.46,0,43.57
2026-06-13 16:11:50,1号栋,24.6,69.07,16.23,2178.49,5761.28,55.33,63.44,0,31.2
2026-06-13 16:26:50,1号栋,24.32,69.15,17.94,1756.62,5106.0,54.61,63.87,0,28.53
2026-06-13 16:41:50,1号栋,24.51,69.96,16.24,1943.0,5878.02,51.16,66.34,0,16.38
2026-06-13 16:56:50,1号栋,25.01,70.21,17.83,2295.2,6612.83,55.15,44.1,0,19.79
2026-06-13 17:11:50,1号栋,23.7,69.31,18.36,1953.51,5315.86,51.61,55.74,0,18.75
2026-06-13 17:26:50,1号栋,23.55,66.56,15.37,2309.39,4747.77,58.38,66.71,0,31.48
2026-06-13 17:41:50,1号栋,23.59,70.66,16.17,2123.06,6502.52,52.93,73.29,0,24.37
2026-06-13 17:56:50,1号栋,24.0,72.8,16.07,2461.15,5576.35,51.99,68.32,0,37.78
2026-06-13 18:11:50,1号栋,23.81,66.12,15.87,2049.15,4586.86,54.36,63.68,0,19.32
2026-06-13 18:26:50,1号栋,23.69,70.48,18.44,2314.81,5041.04,54.04,61.14,0,16.71
2026-06-13 18:41:50,1号栋,23.71,69.68,17.86,1843.31,4083.55,55.23,61.46,0,35.45
2026-06-13 18:56:50,1号栋,23.51,69.32,19.2,1995.45,4672.13,52.2,57.41,0,27.53
2026-06-13 19:11:50,1号栋,23.09,68.3,19.83,1919.74,3932.24,52.24,76.02,0,31.57
2026-06-13 19:26:50,1号栋,23.5,66.29,17.85,2276.58,4066.82,55.25,56.58,0,41.27
2026-06-13 19:41:50,1号栋,24.13,68.54,16.43,2389.34,4815.46,52.07,57.86,0,27.75
2026-06-13 19:56:50,1号栋,22.31,67.42,15.31,1945.1,4008.33,53.59,76.66,0,22.01
2026-06-13 20:11:50,1号栋,22.99,68.83,17.22,2233.62,2906.69,53.88,63.16,0,33.94
2026-06-13 20:26:50,1号栋,22.64,74.17,16.04,1992.46,3156.49,52.01,54.95,0,39.51
2026-06-13 20:41:50,1号栋,23.21,68.12,15.66,2192.94,3191.94,54.39,63.63,0,17.87
2026-06-13 20:56:50,1号栋,23.27,72.85,16.09,2021.12,3610.99,53.79,68.22,0,46.08
2026-06-13 21:11:50,1号栋,22.0,67.66,14.56,1952.47,2972.65,56.71,55.82,0,31.79
2026-06-13 21:26:50,1号栋,22.08,71.64,22.37,1992.48,2744.5,55.21,67.86,0,44.77
2026-06-13 21:41:50,1号栋,22.38,68.54,18.5,2320.4,3399.46,54.13,71.85,0,39.35
2026-06-13 21:56:50,1号栋,22.78,70.56,16.99,2128.0,3592.47,51.49,65.07,0,26.85
2026-06-13 22:11:50,1号栋,21.78,71.82,17.7,2107.95,1941.86,54.61,67.35,0,47.31
2026-06-13 22:26:50,1号栋,21.61,69.7,17.82,2414.15,2574.14,53.68,66.89,0,31.49
2026-06-13 22:41:50,1号栋,21.54,69.65,19.47,1893.36,2688.28,51.72,72.72,0,17.81
2026-06-13 22:56:50,1号栋,21.49,70.02,20.45,2085.51,2344.19,56.88,46.26,0,12.41
2026-06-13 23:11:50,1号栋,21.79,68.26,15.28,2240.33,2512.72,51.99,48.09,0,36.98
2026-06-13 23:26:50,1号栋,21.89,69.06,21.01,1884.64,1628.06,51.74,60.49,0,31.95
2026-06-13 23:41:50,1号栋,21.45,69.96,14.82,2387.41,2349.74,55.35,64.15,0,33.65
2026-06-13 23:56:50,1号栋,21.85,70.16,18.61,2364.49,2489.08,54.54,60.03,0,41.52
2026-06-14 00:11:50,1号栋,21.16,72.86,17.24,1812.5,2376.09,51.76,68.99,0,24.78
2026-06-14 00:26:50,1号栋,21.28,65.48,16.42,1613.88,1520.09,54.64,68.5,0,33.4
2026-06-14 00:41:50,1号栋,21.01,69.17,17.31,1866.99,3063.74,54.87,58.3,0,30.22
2026-06-14 00:56:50,1号栋,21.6,65.18,16.83,1962.26,1811.23,52.56,78.78,0,35.13
2026-06-14 01:11:50,1号栋,21.28,70.41,20.12,2283.59,2420.63,51.83,67.62,0,33.15
2026-06-14 01:26:50,1号栋,22.01,70.53,19.42,1991.61,3049.52,53.52,81.76,0,24.49
2026-06-14 01:41:50,1号栋,22.43,69.66,16.02,2001.88,2230.64,53.97,66.45,0,25.41
2026-06-14 01:56:50,1号栋,21.55,73.55,20.78,2185.92,2409.82,53.36,66.91,0,21.82
2026-06-14 02:11:50,1号栋,21.64,65.92,18.12,2228.1,2380.2,56.27,48.56,0,18.29
2026-06-14 02:26:50,1号栋,21.88,71.35,20.69,2006.88,3161.13,53.04,59.21,0,37.07
2026-06-14 02:41:50,1号栋,22.09,66.11,20.27,2374.68,2309.01,53.91,65.99,0,32.09
2026-06-14 02:56:50,1号栋,21.49,67.92,17.27,2333.2,2893.59,52.38,68.46,0,7.21
2026-06-14 03:11:50,1号栋,22.66,65.78,16.6,1874.72,2341.88,55.44,56.65,0,32.77
2026-06-14 03:26:50,1号栋,22.06,70.21,17.47,1842.06,3487.35,52.13,45.46,0,26.58
2026-06-14 03:41:50,1号栋,22.83,70.96,16.62,2028.81,2828.4,57.27,65.24,0,33.44
2026-06-14 03:56:50,1号栋,22.6,69.74,16.8,2059.39,2953.42,53.05,68.58,0,30.42
2026-06-14 04:11:50,1号栋,22.86,69.1,17.48,1699.02,3926.22,53.81,71.41,0,6.83
2026-06-14 04:26:50,1号栋,23.54,68.98,19.54,1890.68,3774.44,51.01,55.53,0,45.31
2026-06-14 04:41:50,1号栋,22.4,69.7,19.06,2197.79,3543.27,53.85,85.24,0,29.54
2026-06-14 04:56:50,1号栋,22.6,71.36,19.53,2336.06,3787.42,50.83,77.63,0,20.83
2026-06-14 05:11:50,1号栋,23.13,67.75,17.19,2164.41,4186.35,53.96,77.7,0,33.63
2026-06-14 05:26:50,1号栋,22.86,71.19,19.7,1853.14,4324.38,54.52,58.45,0,41.01
2026-06-14 05:41:50,1号栋,22.91,69.51,16.97,2101.77,3477.54,50.24,77.4,0,23.22
2026-06-14 05:56:50,1号栋,22.48,64.95,16.04,1834.04,4846.68,55.14,54.36,0,48.02
2026-06-14 06:11:50,1号栋,23.99,68.61,12.32,2556.85,3929.29,49.83,72.22,0,49.52
2026-06-14 06:26:50,1号栋,24.19,70.39,18.51,2269.34,5003.54,53.68,63.14,0,29.5
2026-06-14 06:41:50,1号栋,23.12,68.7,13.93,2078.99,4129.78,50.91,63.36,0,41.14
2026-06-14 06:56:50,1号栋,23.96,66.12,15.34,2286.81,4132.83,52.67,67.48,0,22.25
2026-06-14 07:11:50,1号栋,24.07,66.59,16.12,2162.61,4425.98,54.0,61.84,0,34.42
2026-06-14 07:26:50,1号栋,24.13,71.99,17.57,2012.78,5283.62,54.21,62.55,0,30.32
2026-06-14 07:41:50,1号栋,23.66,67.93,14.51,2448.57,4600.54,51.73,54.65,0,37.16
2026-06-14 07:56:50,1号栋,23.87,71.76,15.97,2154.46,4804.8,57.41,50.06,0,32.48
2026-06-14 08:11:50,1号栋,24.82,70.09,16.95,2072.69,5802.0,52.83,72.05,0,47.68
2026-06-14 08:26:50,1号栋,24.22,66.52,17.14,2614.6,5378.26,56.4,78.89,0,25.57
2026-06-14 08:41:50,1号栋,24.78,72.52,16.56,2057.94,5489.25,51.09,55.9,0,20.21
2026-06-14 08:56:50,1号栋,24.52,67.72,17.79,1787.48,5945.53,54.79,42.32,0,32.99
2026-06-14 09:11:50,1号栋,25.53,66.84,20.67,2182.46,5906.43,53.01,68.35,0,31.66
2026-06-14 09:26:50,1号栋,25.18,67.42,17.66,1815.92,6203.32,51.31,55.24,0,40.25
2026-06-14 09:41:50,1号栋,25.46,70.48,15.14,2035.38,6865.48,53.4,85.92,0,34.06
2026-06-14 09:56:50,1号栋,25.01,68.64,17.59,2068.16,6612.99,55.03,54.64,0,19.37
2026-06-14 10:11:50,1号栋,24.31,70.28,15.11,1668.08,6820.65,58.11,62.1,0,36.71
2026-06-14 10:26:50,1号栋,25.27,69.06,19.16,2040.6,6760.05,53.76,55.95,0,38.48
2026-06-14 10:41:50,1号栋,25.14,67.75,18.39,1918.96,6640.45,53.1,73.43,0,34.08
2026-06-14 10:56:50,1号栋,25.22,70.9,20.1,2210.22,6631.53,50.5,51.96,0,27.99
2026-06-14 11:11:50,1号栋,25.13,68.89,17.43,2204.6,6822.08,54.09,63.21,0,14.45
2026-06-14 11:26:50,1号栋,24.96,68.97,14.9,2218.64,7622.71,55.56,60.35,0,41.93
2026-06-14 11:41:50,1号栋,25.5,68.59,16.09,2038.16,6663.24,53.46,64.36,0,31.03
2026-06-14 11:56:50,1号栋,25.65,71.64,19.22,1801.68,5580.37,54.99,49.16,0,29.5
2026-06-14 12:11:50,1号栋,24.91,65.66,18.4,2250.49,6647.86,47.94,56.99,0,33.13
2026-06-14 12:26:50,1号栋,24.76,69.63,17.29,2214.52,6995.9,51.17,74.35,0,28.73
2026-06-14 12:41:50,1号栋,25.48,67.39,16.43,1921.7,6849.64,56.54,49.02,0,18.06
2026-06-14 12:56:50,1号栋,26.23,68.84,15.98,2306.64,6633.3,56.77,69.9,0,28.56
2026-06-14 13:11:50,1号栋,26.51,68.05,18.8,2158.52,7508.2,56.24,63.57,0,26.99
2026-06-14 13:26:50,1号栋,25.66,67.91,21.35,2125.97,6674.67,53.49,49.36,0,23.55
2026-06-14 13:41:50,1号栋,26.03,67.95,15.23,2205.99,7450.18,54.56,72.98,0,26.01
2026-06-14 13:56:50,1号栋,24.72,72.26,16.67,2048.49,7521.43,54.23,66.92,0,47.32
2026-06-14 14:11:50,1号栋,24.91,71.12,17.43,2152.38,7390.59,54.14,67.84,0,38.58
2026-06-14 14:26:50,1号栋,25.05,67.58,15.23,1705.39,7654.46,50.91,60.31,0,27.88
2026-06-14 14:41:50,1号栋,25.38,70.89,19.04,1982.04,6542.8,53.69,60.21,0,43.63
2026-06-14 14:56:50,1号栋,25.48,70.73,18.65,2333.35,6716.87,50.53,66.73,0,25.74
2026-06-14 15:11:50,1号栋,24.65,70.43,19.8,2102.91,6413.35,56.52,64.73,0,50.81
2026-06-14 15:26:50,1号栋,25.2,65.74,18.83,2174.89,6903.81,54.47,61.21,0,20.6
2026-06-14 15:41:50,1号栋,24.81,67.56,16.16,2216.37,7093.88,53.91,50.45,0,33.56
2026-06-14 15:56:50,1号栋,25.51,68.04,17.05,2101.6,5866.48,54.42,61.55,0,34.38
2026-06-14 16:11:50,1号栋,24.05,68.39,18.76,2024.09,6643.58,52.32,64.27,0,37.46
2026-06-14 16:26:50,1号栋,23.79,65.74,14.27,2351.18,5504.16,58.24,56.25,0,31.48
2026-06-14 16:41:50,1号栋,25.27,73.27,21.44,2340.33,6292.12,54.3,70.42,0,26.13
2026-06-14 16:56:50,1号栋,24.09,69.25,16.98,2008.01,6128.29,55.03,62.93,0,41.82
2026-06-14 17:11:50,1号栋,23.44,68.87,15.89,1725.35,5181.13,52.88,76.86,0,35.05
2026-06-14 17:26:50,1号栋,23.5,72.97,19.76,2215.08,5109.23,51.2,58.03,0,38.71
2026-06-14 17:41:50,1号栋,24.96,72.35,16.34,1874.73,5292.92,49.58,65.71,0,28.82
2026-06-14 17:56:50,1号栋,23.78,66.07,18.35,1992.12,4637.52,47.38,61.62,0,44.18
2026-06-14 18:11:50,1号栋,24.33,68.35,16.12,2192.41,4124.88,53.72,69.83,0,39.82
2026-06-14 18:26:50,1号栋,23.45,68.85,15.56,1933.28,4510.84,53.85,70.86,0,23.57
2026-06-14 18:41:50,1号栋,24.24,68.72,17.28,1949.22,3411.95,54.89,69.49,0,27.75
2026-06-14 18:56:50,1号栋,23.53,70.29,14.19,1992.85,5021.21,50.61,64.7,0,19.15
2026-06-14 19:11:50,1号栋,23.21,69.19,14.09,2331.61,3658.38,51.5,63.61,0,39.19
2026-06-14 19:26:50,1号栋,22.47,69.38,18.18,2237.28,4113.9,52.39,52.96,0,30.69
2026-06-14 19:41:50,1号栋,22.44,63.42,18.19,2279.45,2844.21,51.1,67.41,0,46.46
2026-06-14 19:56:50,1号栋,22.99,67.8,16.95,2373.63,3702.69,51.52,56.67,0,22.37
2026-06-14 20:11:50,1号栋,22.56,72.51,17.97,2048.19,3322.15,49.99,70.11,0,29.38
2026-06-14 20:26:50,1号栋,22.41,75.65,17.92,1948.3,3254.88,55.42,62.34,0,18.49
2026-06-14 20:41:50,1号栋,22.96,67.92,21.07,2314.67,3244.39,55.68,62.16,0,36.82
2026-06-14 20:56:50,1号栋,22.74,67.57,16.03,2304.65,3300.67,52.31,51.82,0,33.39
2026-06-14 21:11:50,1号栋,23.12,67.13,17.37,2381.1,2949.4,54.02,50.93,0,33.43
2026-06-14 21:26:50,1号栋,21.99,71.23,19.69,2616.57,3279.03,53.77,62.94,0,27.17
2026-06-14 21:41:50,1号栋,22.25,68.67,17.66,2362.18,2485.95,55.4,74.3,0,29.06
2026-06-14 21:56:50,1号栋,21.02,68.05,19.91,2094.08,2489.57,52.11,68.92,0,34.37
2026-06-14 22:11:50,1号栋,21.65,68.53,16.54,1914.18,3429.48,52.48,72.99,0,42.17
2026-06-14 22:26:50,1号栋,22.27,68.4,18.13,2093.82,2169.94,53.77,49.34,0,39.5
2026-06-14 22:41:50,1号栋,21.53,69.66,17.89,2046.88,2915.14,52.17,69.48,0,19.23
2026-06-14 22:56:50,1号栋,21.83,73.14,15.32,1963.11,2878.75,53.48,64.42,0,33.91
2026-06-14 23:11:50,1号栋,21.88,71.48,18.14,2050.41,2727.1,56.92,59.62,0,22.2
2026-06-14 23:26:50,1号栋,22.12,69.02,12.97,2268.14,2123.15,52.94,64.38,0,31.52
2026-06-14 23:41:50,1号栋,21.92,68.39,18.35,2046.75,2760.22,54.35,51.61,0,38.69
2026-06-14 23:56:50,1号栋,21.3,70.88,18.05,2466.3,2279.09,52.42,60.45,0,27.57
2026-06-15 00:11:50,1号栋,21.9,66.03,15.21,1885.1,2787.19,56.54,59.9,0,28.65
2026-06-15 00:26:50,1号栋,21.53,71.58,15.47,2146.33,2799.64,54.12,62.66,0,38.01
2026-06-15 00:41:50,1号栋,20.15,70.62,16.01,1732.53,2567.64,55.87,58.7,0,37.62
2026-06-15 00:56:50,1号栋,22.3,71.89,20.6,2247.08,2349.75,49.92,58.69,0,23.25
2026-06-15 01:11:50,1号栋,22.65,68.91,17.57,2208.96,2412.62,56.51,55.1,0,31.56
2026-06-15 01:26:50,1号栋,21.2,66.62,16.1,2091.25,2176.17,51.74,46.53,0,29.34
2026-06-15 01:41:50,1号栋,20.81,70.78,17.48,1807.15,2236.21,51.62,63.6,0,40.72
2026-06-15 01:56:50,1号栋,20.63,69.49,17.0,2232.93,2497.42,51.62,57.12,0,23.63
2026-06-15 02:11:50,1号栋,22.3,69.3,21.12,2086.53,2267.59,50.09,43.12,0,17.33
2026-06-15 02:26:50,1号栋,21.9,70.28,14.16,2277.67,2380.26,53.41,77.07,0,37.17
2026-06-15 02:41:50,1号栋,21.63,67.48,13.02,1954.83,2516.23,51.15,59.5,0,30.61
2026-06-15 02:56:50,1号栋,21.65,67.96,17.66,2187.05,2076.59,55.94,59.84,0,30.15
2026-06-15 03:11:50,1号栋,22.44,69.73,19.23,2156.08,2683.0,53.84,49.78,0,30.87
2026-06-15 03:26:50,1号栋,22.07,68.84,17.06,1722.29,2714.85,53.31,62.63,0,21.78
2026-06-15 03:41:50,1号栋,22.72,67.53,19.26,2184.1,2666.1,56.67,49.42,0,37.35
2026-06-15 03:56:50,1号栋,22.58,67.92,20.1,2048.65,3133.56,53.64,59.95,0,36.49
2026-06-15 04:11:50,1号栋,22.89,65.76,19.93,1766.16,3984.33,55.37,50.54,0,26.71
2026-06-15 04:26:50,1号栋,21.95,68.83,16.7,2254.59,4123.21,55.91,55.35,0,28.33
2026-06-15 04:41:50,1号栋,21.66,67.65,19.25,2421.78,2850.88,51.93,60.56,0,32.24
2026-06-15 04:56:50,1号栋,22.09,70.11,16.37,2095.77,3741.2,53.13,56.68,0,29.12
2026-06-15 05:11:50,1号栋,22.94,68.52,16.8,2418.39,4306.14,52.53,68.44,0,27.33
2026-06-15 05:26:50,1号栋,23.57,70.0,17.11,2188.2,3240.24,50.87,49.84,0,31.14
2026-06-15 05:41:50,1号栋,23.85,73.72,18.6,2198.83,3125.15,52.03,54.05,0,25.03
2026-06-15 05:56:50,1号栋,22.9,68.32,13.36,2248.24,3489.3,53.6,82.19,0,22.64
2026-06-15 06:11:50,1号栋,22.23,68.69,19.52,2490.33,4009.3,54.11,56.46,0,29.15
2026-06-15 06:26:50,1号栋,24.82,66.25,17.83,2192.2,5166.97,53.32,65.49,0,26.87
2026-06-15 06:41:50,1号栋,23.63,68.57,18.56,2024.74,4812.62,53.06,73.08,0,29.59
2026-06-15 06:56:50,1号栋,22.61,71.78,15.51,1967.91,4326.24,55.87,39.95,0,55.1
2026-06-15 07:11:50,1号栋,24.54,69.71,17.21,2155.77,5483.04,54.41,67.83,0,30.72
2026-06-15 07:26:50,1号栋,23.92,68.96,16.93,2325.41,5519.25,47.24,68.52,0,31.56
2026-06-15 07:41:50,1号栋,24.01,68.48,19.57,2288.16,4836.04,53.93,52.29,0,18.96
2026-06-15 07:56:50,1号栋,23.7,70.99,19.23,2201.28,5585.02,54.15,55.44,0,33.46
2026-06-15 08:11:50,1号栋,24.9,70.77,19.7,2240.32,5955.82,55.26,62.18,0,22.95
2026-06-15 08:26:50,1号栋,24.42,67.77,15.97,2069.75,5383.88,52.5,43.27,0,31.71
2026-06-15 08:41:50,1号栋,24.5,67.63,18.64,2286.17,4976.31,51.59,54.56,0,22.48
2026-06-15 08:56:50,1号栋,24.91,68.87,16.79,1697.89,6097.8,50.64,63.06,0,32.22
2026-06-15 09:11:50,1号栋,25.59,66.64,11.28,2135.43,7159.19,55.6,64.89,0,27.25
2026-06-15 09:26:50,1号栋,25.32,67.31,18.27,2199.75,6789.04,58.64,66.58,0,26.56
2026-06-15 09:41:50,1号栋,24.9,65.72,15.93,2016.8,5996.89,53.42,54.23,0,38.97
2026-06-15 09:56:50,1号栋,24.91,69.24,16.66,2129.7,6671.48,51.39,55.88,0,27.57
